1 8781 {'CACHE_SIZE': 120, 'infos': [{'latency': np.float64(2.0), 'id': 0, 'ip': 'localhost', 'rep_port': 8780}], 'SITE_ID': 1, 'REP_PORT': 8781, 'IP_ADDRESS': 'localhost'}
Task(id_task=13, id_node=1, infos={'time': 0, 'application_type': '3DRender'}, id_dataset=ds724, ds_size=797)
Task(id_task=20, id_node=1, infos={'time': 121, 'application_type': '3DRender'}, id_dataset=ds263, ds_size=660)
Task(id_task=22, id_node=1, infos={'time': 116, 'application_type': '3DRender'}, id_dataset=ds303, ds_size=569)
Task(id_task=33, id_node=1, infos={'time': 111, 'application_type': '3DRender'}, id_dataset=ds588, ds_size=498)
Task(id_task=35, id_node=1, infos={'time': 122, 'application_type': '3DRender'}, id_dataset=ds386, ds_size=5)
Task(id_task=37, id_node=1, infos={'time': 122, 'application_type': '3DRender'}, id_dataset=ds396, ds_size=331)
Task(id_task=39, id_node=1, infos={'time': 122, 'application_type': '3DRender'}, id_dataset=ds437, ds_size=760)
Task(id_task=41, id_node=1, infos={'time': 125, 'application_type': '3DRender'}, id_dataset=ds84, ds_size=137)
Task(id_task=44, id_node=1, infos={'time': 115, 'application_type': '3DRender'}, id_dataset=ds927, ds_size=643)
Task(id_task=46, id_node=1, infos={'time': 117, 'application_type': '3DRender'}, id_dataset=ds626, ds_size=880)
Task(id_task=48, id_node=1, infos={'time': 116, 'application_type': '3DRender'}, id_dataset=ds804, ds_size=247)
Task(id_task=50, id_node=1, infos={'time': 117, 'application_type': '3DRender'}, id_dataset=ds41, ds_size=774)
Task(id_task=53, id_node=1, infos={'time': 111, 'application_type': '3DRender'}, id_dataset=ds329, ds_size=232)
Task(id_task=55, id_node=1, infos={'time': 111, 'application_type': '3DRender'}, id_dataset=ds378, ds_size=380)
Task(id_task=57, id_node=1, infos={'time': 114, 'application_type': '3DRender'}, id_dataset=ds120, ds_size=451)
Task(id_task=59, id_node=1, infos={'time': 112, 'application_type': '3DRender'}, id_dataset=ds763, ds_size=757)
Task(id_task=61, id_node=1, infos={'time': 126, 'application_type': '3DRender'}, id_dataset=ds882, ds_size=727)
Task(id_task=63, id_node=1, infos={'time': 127, 'application_type': '3DRender'}, id_dataset=ds408, ds_size=335)
Task(id_task=65, id_node=1, infos={'time': 117, 'application_type': '3DRender'}, id_dataset=ds959, ds_size=984)
Task(id_task=74, id_node=1, infos={'time': 103, 'application_type': '3DRender'}, id_dataset=ds402, ds_size=585)
Task(id_task=82, id_node=1, infos={'time': 110, 'application_type': '3DRender'}, id_dataset=ds790, ds_size=700)
Task(id_task=85, id_node=1, infos={'time': 101, 'application_type': '3DRender'}, id_dataset=ds758, ds_size=908)
Task(id_task=112, id_node=1, infos={'time': 111, 'application_type': '3DRender'}, id_dataset=ds938, ds_size=723)
Task(id_task=114, id_node=1, infos={'time': 111, 'application_type': '3DRender'}, id_dataset=ds830, ds_size=345)
Task(id_task=116, id_node=1, infos={'time': 126, 'application_type': '3DRender'}, id_dataset=ds800, ds_size=140)
Task(id_task=126, id_node=1, infos={'time': 144, 'application_type': '3DRender'}, id_dataset=ds47, ds_size=112)
Task(id_task=128, id_node=1, infos={'time': 124, 'application_type': '3DRender'}, id_dataset=ds631, ds_size=130)
Task(id_task=137, id_node=1, infos={'time': 119, 'application_type': '3DRender'}, id_dataset=ds70, ds_size=817)
Task(id_task=139, id_node=1, infos={'time': 121, 'application_type': '3DRender'}, id_dataset=ds771, ds_size=75)
Task(id_task=141, id_node=1, infos={'time': 129, 'application_type': '3DRender'}, id_dataset=ds441, ds_size=449)
Task(id_task=145, id_node=1, infos={'time': 140, 'application_type': '3DRender'}, id_dataset=ds32, ds_size=754)
Task(id_task=147, id_node=1, infos={'time': 142, 'application_type': '3DRender'}, id_dataset=ds557, ds_size=532)
Task(id_task=149, id_node=1, infos={'time': 154, 'application_type': '3DRender'}, id_dataset=ds497, ds_size=141)
Task(id_task=152, id_node=1, infos={'time': 137, 'application_type': '3DRender'}, id_dataset=ds227, ds_size=783)
Task(id_task=154, id_node=1, infos={'time': 138, 'application_type': '3DRender'}, id_dataset=ds465, ds_size=405)
Task(id_task=156, id_node=1, infos={'time': 138, 'application_type': '3DRender'}, id_dataset=ds127, ds_size=139)
Task(id_task=158, id_node=1, infos={'time': 144, 'application_type': '3DRender'}, id_dataset=ds479, ds_size=312)
Task(id_task=160, id_node=1, infos={'time': 138, 'application_type': '3DRender'}, id_dataset=ds493, ds_size=966)
Task(id_task=162, id_node=1, infos={'time': 142, 'application_type': '3DRender'}, id_dataset=ds50, ds_size=196)
Task(id_task=164, id_node=1, infos={'time': 161, 'application_type': '3DRender'}, id_dataset=ds528, ds_size=152)
Task(id_task=167, id_node=1, infos={'time': 146, 'application_type': '3DRender'}, id_dataset=ds12, ds_size=433)
Task(id_task=172, id_node=1, infos={'time': 169, 'application_type': '3DRender'}, id_dataset=ds571, ds_size=602)
Task(id_task=177, id_node=1, infos={'time': 172, 'application_type': '3DRender'}, id_dataset=ds273, ds_size=459)
Task(id_task=181, id_node=1, infos={'time': 150, 'application_type': '3DRender'}, id_dataset=ds641, ds_size=338)
Task(id_task=184, id_node=1, infos={'time': 168, 'application_type': '3DRender'}, id_dataset=ds812, ds_size=883)
Task(id_task=186, id_node=1, infos={'time': 170, 'application_type': '3DRender'}, id_dataset=ds428, ds_size=894)
Task(id_task=194, id_node=1, infos={'time': 148, 'application_type': '3DRender'}, id_dataset=ds261, ds_size=53)
Task(id_task=199, id_node=1, infos={'time': 171, 'application_type': '3DRender'}, id_dataset=ds132, ds_size=155)
Task(id_task=203, id_node=1, infos={'time': 150, 'application_type': '3DRender'}, id_dataset=ds881, ds_size=127)
Task(id_task=205, id_node=1, infos={'time': 150, 'application_type': '3DRender'}, id_dataset=ds503, ds_size=77)
Task(id_task=207, id_node=1, infos={'time': 169, 'application_type': '3DRender'}, id_dataset=ds21, ds_size=386)
Task(id_task=211, id_node=1, infos={'time': 161, 'application_type': '3DRender'}, id_dataset=ds977, ds_size=490)
Task(id_task=213, id_node=1, infos={'time': 168, 'application_type': '3DRender'}, id_dataset=ds387, ds_size=529)
Task(id_task=216, id_node=1, infos={'time': 150, 'application_type': '3DRender'}, id_dataset=ds159, ds_size=967)
Task(id_task=218, id_node=1, infos={'time': 151, 'application_type': '3DRender'}, id_dataset=ds766, ds_size=212)
Task(id_task=224, id_node=1, infos={'time': 150, 'application_type': '3DRender'}, id_dataset=ds695, ds_size=139)
Task(id_task=228, id_node=1, infos={'time': 165, 'application_type': '3DRender'}, id_dataset=ds519, ds_size=186)
