id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
330846,3DRender,2021-04-26 22:13:13,2021-04-26 22:20:23,336,92,1,1,4F424F4D-58D8-00D7-B158-00D861155521,44415251-58D8-00D7-B158-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds39,32,0
2680379,3DRender,2022-06-02 00:32:34,2022-06-02 00:51:07,116,138,856,1,4F424F4D-ADF0-084E-ABC1-049226DA3D52,44415251-ADF0-084E-ABC1-000000000000,584f4251-4000-0000-1000-000000000016,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds174,238,3
96032,Risk,2021-02-18 18:23:20,2021-02-18 19:54:09,5215,229,1,0,4F424F4D-58D8-00D7-B137-00D861156A0B,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds66,89,4
2821624,3DRender,2022-06-16 13:23:26,2022-06-16 13:33:07,459,115,4,2,4F424F4D-58D8-00D7-B137-00D861155549,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds428,160,2
183187,Risk,2021-03-23 10:42:17,2021-03-23 10:43:37,0,63,10,0,4F424F4D-58D8-00D7-B158-00D861155662,44415251-58D8-00D7-B158-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds1,156,1
2546922,3DRender,2022-05-08 01:17:20,2022-05-08 02:00:44,2461,140,1,2,4F424F4D-58D8-00D7-B077-049226DA6479,44415251-58D8-00D7-B077-000000000000,584f4251-4000-0000-1000-000000000016,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds1,156,3
297289,3DRender,2021-04-22 22:42:49,2021-04-22 22:44:54,0,121,1,0,4F424F4D-58D8-01D7-3809-049226D9DACC,44415251-58D8-01D7-3809-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Preempted,ds12,137,2
850101,3DRender,2021-07-11 10:10:21,2021-07-11 10:11:11,0,49,1,0,4F424F4D-58D8-01D7-3AEE-00D8617B5D9F,44415251-58D8-01D7-3AEE-000000000000,584f4251-2001-0000-0000-000000000001,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds1,156,2
1471733,Risk,2021-11-07 07:57:01,2021-11-09 10:59:18,183584,60,91,1,4F424F4D-58D8-00D7-AFE1-00D861C8FB64,44415251-58D8-00D7-AFE1-000000000000,584f4251-2000-0000-0001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Cancelled,ds20,167,4
3548553,3DRender,2022-10-04 09:01:38,2022-10-04 09:05:25,93,121,7,1,4F424F4D-58D8-00D7-B2A2-00D861C1EB2A,44415251-58D8-00D7-B2A2-000000000000,584f4251-2000-0000-0001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds13,99,1
768742,Risk,2021-07-05 15:12:04,2021-07-06 11:18:36,72264,101,13,0,4F424F4D-58D8-01D7-3A6D-00D861155589,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds1,156,1
3584929,3DRender,2022-10-12 07:46:48,2022-10-12 07:47:15,24,1,1,3,4F424F4D-58D8-01D7-3A91-00D8617B0B3F,44415251-58D8-01D7-3A91-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds3,101,3
869068,Risk,2021-07-12 09:58:35,2021-07-12 14:06:28,14767,66,27,0,4F424F4D-58D8-01D7-36E9-00D8612D2298,44415251-58D8-01D7-36E9-000000000000,584f4251-3000-0000-2000-000000000006,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds1,156,2
2760791,Risk,2022-06-11 07:22:34,2022-06-11 07:25:49,0,192,1,1,4F424F4D-58D8-01D7-37A3-00D8611555AA,44415251-58D8-01D7-37A3-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds3,101,2
2416225,3DRender,2022-04-22 05:30:27,2022-04-22 05:42:20,570,139,1,3,4F424F4D-ADF0-084E-ABC1-049226DA3D56,44415251-ADF0-084E-ABC1-000000000000,584f4251-4000-0000-1000-000000000016,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds206,23,2
1312460,Risk,2021-10-14 13:44:55,2021-10-14 13:55:13,509,101,1,1,4F424F4D-58D8-00D7-B131-00D8619C7531,44415251-58D8-00D7-B131-000000000000,584f4251-4000-0000-1000-000000000012,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds35,232,2
606499,Risk,2021-06-04 15:11:01,2021-06-04 15:14:10,0,0,180,1,4F424F4D-58D8-01D7-3A6D-00D861156BA3,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds698,254,3
3646098,3DRender,2022-10-19 08:51:14,2022-10-19 09:05:28,31,184,634,4,4F424F4D-58D8-00D7-B077-049226DA64B9,44415251-58D8-00D7-B077-000000000000,584f4251-4000-0000-1000-000000000016,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds508,165,2
1223333,Risk,2021-09-29 10:37:39,2021-09-29 11:51:26,4224,101,90,0,4F424F4D-58D8-00D7-A3E7-00D8619C74EB,44415251-58D8-00D7-A3E7-000000000000,584f4251-4000-0000-1000-000000000019,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds1,156,2
1866300,3DRender,2022-02-03 11:58:42,2022-02-03 12:49:27,2769,253,16,5,4F424F4D-58D8-01D7-36EF-2CF05D7ECBB8,44415251-58D8-01D7-36EF-000000000000,584f4251-3000-0000-2000-000000000001,AMD Ryzen 7 3700X 8-Core Processor,8,Completed,ds2,204,1
1547266,3DRender,2021-11-28 15:41:19,2021-11-28 15:50:44,508,54,1,2,4F424F4D-58D8-00D7-8AFD-00D861C8FC48,44415251-58D8-00D7-8AFD-000000000000,584f4251-2000-0000-0001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds2,204,4
826793,3DRender,2021-07-08 08:27:17,2021-07-08 08:28:30,13,1,53,4,4F424F4D-58D8-01D7-3AB5-00D861C8FC14,44415251-58D8-01D7-3AB5-000000000000,584f4251-3000-0000-2000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds1,156,1
656781,Risk,2021-06-13 10:44:14,2021-06-13 11:00:41,900,84,1,0,4F424F4D-58D8-01D7-36E9-00D8617B5D98,44415251-58D8-01D7-36E9-000000000000,584f4251-3000-0000-2000-000000000006,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds1,156,2
39013,Risk,2021-02-09 11:07:19,2021-02-09 11:11:22,0,159,56,0,4F424F4D-58D8-01D7-3AB8-00D8617B5E08,44415251-58D8-01D7-3AB8-000000000000,584f4251-3000-0000-2000-000000000006,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds44,211,1
